season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,dayOfWeek,days,demand
1,0,1,19,0,1,1,0.24,0.38,0.1045,Wed,4,132
1,0,1,20,0,1,1,0.22,0.47,0.1642,Wed,4,89
1,0,1,21,0,1,1,0.2,0.51,0.19399999999999998,Wed,4,43
1,0,1,22,0,1,1,0.18,0.55,0.1343,Wed,4,42
1,0,1,23,0,1,1,0.2,0.47,0.0,Wed,4,19
1,0,1,0,0,1,1,0.18,0.55,0.0,Thr,4,11
1,0,1,1,0,1,1,0.16,0.64,0.0,Thr,4,4
1,0,1,2,0,1,1,0.16,0.64,0.0,Thr,4,2
1,0,1,4,0,1,2,0.16,0.64,0.0896,Thr,4,1
1,0,1,5,0,1,2,0.14,0.69,0.0896,Thr,4,4
1,0,1,6,0,1,2,0.14,0.63,0.1045,Thr,5,36
1,0,1,7,0,1,2,0.16,0.59,0.0,Thr,5,95
1,0,1,8,0,1,1,0.16,0.59,0.0,Thr,5,219
1,0,1,9,0,1,2,0.18,0.51,0.0,Thr,5,122
1,0,1,10,0,1,1,0.2,0.47,0.0,Thr,5,45
1,0,1,11,0,1,1,0.22,0.44,0.0896,Thr,5,59
1,0,1,12,0,1,1,0.26,0.35,0.0,Thr,5,84
1,0,1,13,0,1,1,0.26,0.35,0.1045,Thr,5,67
1,0,1,14,0,1,1,0.28,0.36,0.1642,Thr,5,70
1,0,1,15,0,1,1,0.28,0.36,0.0,Thr,5,62
1,0,1,16,0,1,1,0.26,0.38,0.1642,Thr,5,86
1,0,1,17,0,1,1,0.22,0.51,0.1642,Thr,5,172
1,0,1,18,0,1,1,0.22,0.51,0.1343,Thr,5,163
1,0,1,19,0,1,1,0.22,0.55,0.0896,Thr,5,112
1,0,1,20,0,1,1,0.2,0.51,0.1642,Thr,5,69
1,0,1,21,0,1,2,0.22,0.55,0.2239,Thr,5,48
1,0,1,22,0,1,2,0.22,0.51,0.2836,Thr,5,52
1,0,1,23,0,1,2,0.2,0.59,0.19399999999999998,Thr,5,23
1,0,1,0,0,1,2,0.2,0.64,0.19399999999999998,Fri,5,17
1,0,1,1,0,1,2,0.2,0.69,0.2239,Fri,5,7
1,0,1,2,0,1,2,0.2,0.69,0.2239,Fri,5,1
1,0,1,4,0,1,2,0.2,0.69,0.1343,Fri,5,1
1,0,1,5,0,1,3,0.22,0.55,0.0,Fri,5,5
1,0,1,6,0,1,2,0.2,0.69,0.0,Fri,5,34
1,0,1,7,0,1,1,0.2,0.69,0.1343,Fri,6,84
1,0,1,8,0,1,1,0.2,0.51,0.2537,Fri,6,210
1,0,1,9,0,1,1,0.2,0.47,0.2985,Fri,6,134
1,0,1,10,0,1,1,0.22,0.37,0.3284,Fri,6,63
1,0,1,11,0,1,2,0.2,0.4,0.2239,Fri,6,67
1,0,1,12,0,1,2,0.2,0.37,0.2537,Fri,6,59
1,0,1,13,0,1,2,0.2,0.37,0.2836,Fri,6,73
1,0,1,14,0,1,2,0.2,0.4,0.2537,Fri,6,50
1,0,1,15,0,1,2,0.2,0.37,0.1642,Fri,6,72
1,0,1,16,0,1,2,0.2,0.37,0.1642,Fri,6,87
1,0,1,17,0,1,2,0.2,0.37,0.0,Fri,6,187
1,0,1,18,0,1,1,0.2,0.4,0.0896,Fri,6,123
1,0,1,19,0,1,1,0.16,0.55,0.0896,Fri,6,95
1,0,1,20,0,1,1,0.18,0.47,0.1045,Fri,6,51
1,0,1,21,0,1,1,0.18,0.47,0.1343,Fri,6,39
1,0,1,22,0,1,2,0.18,0.43,0.1642,Fri,6,36
1,0,1,23,0,1,2,0.18,0.51,0.1642,Fri,6,15
1,0,1,0,0,0,2,0.18,0.51,0.1642,Sat,6,25
1,0,1,1,0,0,2,0.18,0.55,0.0896,Sat,6,16
1,0,1,2,0,0,2,0.18,0.55,0.0,Sat,6,16
1,0,1,3,0,0,3,0.18,0.55,0.1642,Sat,6,7
1,0,1,4,0,0,3,0.18,0.55,0.1642,Sat,6,1
1,0,1,5,0,0,2,0.16,0.74,0.1642,Sat,6,5
1,0,1,6,0,0,2,0.16,0.74,0.1642,Sat,6,2
1,0,1,7,0,0,2,0.16,0.74,0.1045,Sat,7,9
1,0,1,8,0,0,3,0.16,0.93,0.1045,Sat,7,15
1,0,1,9,0,0,3,0.16,0.93,0.1045,Sat,7,20
1,0,1,10,0,0,2,0.18,0.8,0.1642,Sat,7,61
1,0,1,11,0,0,2,0.2,0.69,0.3881,Sat,7,62
1,0,1,12,0,0,2,0.2,0.59,0.3582,Sat,7,98
1,0,1,13,0,0,1,0.2,0.44,0.3284,Sat,7,102
1,0,1,14,0,0,1,0.2,0.32,0.4925,Sat,7,95
1,0,1,15,0,0,1,0.2,0.32,0.4478,Sat,7,74
1,0,1,16,0,0,1,0.18,0.29,0.4478,Sat,7,76
1,0,1,17,0,0,1,0.16,0.37,0.5522,Sat,7,69
1,0,1,18,0,0,1,0.14,0.39,0.2985,Sat,7,55
1,0,1,19,0,0,1,0.14,0.36,0.2537,Sat,7,30
1,0,1,20,0,0,1,0.12,0.36,0.2537,Sat,7,28
1,0,1,21,0,0,1,0.12,0.39,0.3582,Sat,7,37
1,0,1,22,0,0,1,0.12,0.36,0.3881,Sat,7,34
1,0,1,23,0,0,1,0.1,0.39,0.4478,Sat,7,22
1,0,1,0,0,0,1,0.1,0.42,0.3881,Sun,7,25
1,0,1,1,0,0,1,0.1,0.42,0.4627,Sun,7,12
1,0,1,2,0,0,1,0.1,0.46,0.4627,Sun,7,11
1,0,1,3,0,0,1,0.1,0.46,0.4179,Sun,7,4
1,0,1,4,0,0,1,0.08,0.53,0.19399999999999998,Sun,7,1
1,0,1,5,0,0,1,0.08,0.53,0.19399999999999998,Sun,7,1
1,0,1,6,0,0,1,0.1,0.49,0.2836,Sun,7,1
1,0,1,7,0,0,1,0.08,0.53,0.19399999999999998,Sun,8,6
1,0,1,8,0,0,1,0.1,0.49,0.2836,Sun,8,10
1,0,1,9,0,0,1,0.12,0.46,0.5224,Sun,8,19
1,0,1,10,0,0,1,0.14,0.43,0.3881,Sun,8,49
1,0,1,11,0,0,1,0.16,0.4,0.5224,Sun,8,49
1,0,1,12,0,0,1,0.18,0.37,0.4478,Sun,8,83
1,0,1,13,0,0,1,0.2,0.34,0.4478,Sun,8,75
1,0,1,14,0,0,1,0.22,0.32,0.4627,Sun,8,72
1,0,1,15,0,0,1,0.22,0.35,0.3582,Sun,8,82
1,0,1,16,0,0,1,0.2,0.34,0.4478,Sun,8,92
1,0,1,17,0,0,1,0.18,0.37,0.3881,Sun,8,62
1,0,1,18,0,0,1,0.16,0.4,0.3284,Sun,8,48
1,0,1,19,0,0,1,0.16,0.43,0.3284,Sun,8,41
1,0,1,20,0,0,1,0.14,0.46,0.2537,Sun,8,38
1,0,1,21,0,0,1,0.14,0.46,0.4179,Sun,8,20
1,0,1,22,0,0,1,0.14,0.46,0.2985,Sun,8,15
1,0,1,23,0,0,1,0.12,0.5,0.19399999999999998,Sun,8,6
1,0,1,0,0,1,1,0.12,0.5,0.2836,Mon,8,5
1,0,1,1,0,1,1,0.12,0.5,0.2836,Mon,8,1
1,0,1,2,0,1,1,0.12,0.5,0.2239,Mon,8,3
1,0,1,3,0,1,1,0.12,0.5,0.2239,Mon,8,1
1,0,1,4,0,1,1,0.1,0.54,0.1343,Mon,8,3
1,0,1,5,0,1,1,0.1,0.54,0.2537,Mon,8,3
1,0,1,6,0,1,1,0.12,0.5,0.2836,Mon,8,31
1,0,1,7,0,1,1,0.12,0.5,0.2239,Mon,9,77
1,0,1,8,0,1,2,0.12,0.5,0.2836,Mon,9,188
1,0,1,9,0,1,2,0.14,0.5,0.2537,Mon,9,94
1,0,1,10,0,1,2,0.14,0.5,0.2985,Mon,9,31
1,0,1,11,0,1,2,0.16,0.47,0.2836,Mon,9,30
1,0,1,12,0,1,2,0.2,0.4,0.2836,Mon,9,52
1,0,1,13,0,1,2,0.2,0.4,0.2836,Mon,9,54
1,0,1,14,0,1,2,0.2,0.4,0.2239,Mon,9,47
1,0,1,15,0,1,2,0.2,0.4,0.2239,Mon,9,45
1,0,1,16,0,1,1,0.2,0.4,0.1343,Mon,9,74
1,0,1,17,0,1,1,0.2,0.4,0.1045,Mon,9,178
1,0,1,18,0,1,1,0.2,0.4,0.2239,Mon,9,155
1,0,1,19,0,1,1,0.16,0.47,0.1642,Mon,9,95
1,0,1,20,0,1,1,0.16,0.5,0.1642,Mon,9,74
1,0,1,21,0,1,1,0.14,0.59,0.19399999999999998,Mon,9,38
1,0,1,22,0,1,1,0.14,0.59,0.1642,Mon,9,24
1,0,1,23,0,1,1,0.14,0.59,0.1642,Mon,9,18
1,0,1,0,0,1,1,0.14,0.59,0.1045,Tue,9,12
1,0,1,1,0,1,1,0.14,0.59,0.1642,Tue,9,3
1,0,1,2,0,1,2,0.16,0.55,0.19399999999999998,Tue,9,3
1,0,1,5,0,1,2,0.16,0.55,0.1343,Tue,9,6
1,0,1,6,0,1,2,0.16,0.55,0.1343,Tue,9,27
1,0,1,7,0,1,2,0.16,0.55,0.0,Tue,9,99
1,0,1,8,0,1,2,0.18,0.51,0.0896,Tue,9,217
1,0,1,9,0,1,2,0.18,0.51,0.1642,Tue,10,130
1,0,1,10,0,1,2,0.2,0.51,0.1642,Tue,10,54
1,0,1,11,0,1,2,0.2,0.47,0.1343,Tue,10,35
1,0,1,12,0,1,2,0.2,0.51,0.1045,Tue,10,57
1,0,1,13,0,1,2,0.2,0.59,0.0896,Tue,10,52
1,0,1,14,0,1,2,0.2,0.59,0.0896,Tue,10,63
1,0,1,15,0,1,2,0.16,0.8,0.0896,Tue,10,47
1,0,1,16,0,1,2,0.16,0.86,0.2239,Tue,10,76
1,0,1,17,0,1,2,0.16,0.86,0.2239,Tue,10,136
1,0,1,18,0,1,3,0.16,0.93,0.1045,Tue,10,95
1,0,1,19,0,1,3,0.16,0.93,0.0,Tue,10,51
1,0,1,20,0,1,3,0.16,0.93,0.19399999999999998,Tue,10,32
1,0,1,21,0,1,3,0.16,0.86,0.0896,Tue,10,20
1,0,1,22,0,1,3,0.16,0.93,0.1045,Tue,10,29
1,0,1,23,0,1,3,0.16,0.93,0.0896,Tue,10,19
1,0,1,0,0,1,2,0.16,0.86,0.0896,Wed,10,7
1,0,1,1,0,1,2,0.16,0.86,0.1045,Wed,10,6
1,0,1,2,0,1,1,0.14,0.86,0.1343,Wed,10,1
1,0,1,5,0,1,1,0.14,0.86,0.1642,Wed,10,5
1,0,1,6,0,1,1,0.12,0.93,0.1343,Wed,10,16
1,0,1,7,0,1,1,0.14,0.69,0.1343,Wed,10,54
1,0,1,8,0,1,1,0.16,0.59,0.1642,Wed,10,128
1,0,1,9,0,1,1,0.16,0.59,0.3284,Wed,10,81
1,0,1,10,0,1,1,0.18,0.55,0.2239,Wed,10,39
1,0,1,11,0,1,1,0.2,0.51,0.3881,Wed,11,35
1,0,1,12,0,1,1,0.2,0.47,0.5821,Wed,11,55
1,0,1,13,0,1,1,0.22,0.44,0.3582,Wed,11,49
1,0,1,14,0,1,1,0.2,0.47,0.3284,Wed,11,44
1,0,1,15,0,1,1,0.2,0.47,0.4179,Wed,11,49
1,0,1,16,0,1,1,0.22,0.44,0.3284,Wed,11,68
1,0,1,17,0,1,1,0.2,0.47,0.3582,Wed,11,139
1,0,1,18,0,1,1,0.2,0.47,0.5224,Wed,11,137
1,0,1,19,0,1,1,0.18,0.47,0.4179,Wed,11,83
1,0,1,20,0,1,1,0.16,0.5,0.3284,Wed,11,56
1,0,1,21,0,1,1,0.16,0.55,0.3284,Wed,11,57
1,0,1,22,0,1,1,0.16,0.55,0.4478,Wed,11,33
1,0,1,23,0,1,1,0.14,0.59,0.4179,Wed,11,20
1,0,1,0,0,1,1,0.14,0.59,0.2836,Thr,11,7
1,0,1,1,0,1,1,0.14,0.5,0.2836,Thr,11,2
1,0,1,2,0,1,1,0.14,0.5,0.3582,Thr,11,2
1,0,1,3,0,1,1,0.14,0.5,0.3284,Thr,11,3
1,0,1,4,0,1,1,0.14,0.5,0.2537,Thr,11,4
1,0,1,5,0,1,1,0.14,0.5,0.2985,Thr,11,3
1,0,1,6,0,1,1,0.12,0.54,0.1343,Thr,11,28
1,0,1,7,0,1,1,0.12,0.54,0.1343,Thr,11,72
1,0,1,8,0,1,1,0.14,0.5,0.19399999999999998,Thr,11,202
1,0,1,9,0,1,1,0.14,0.5,0.3284,Thr,11,139
1,0,1,10,0,1,2,0.16,0.5,0.3582,Thr,11,38
1,0,1,11,0,1,2,0.2,0.44,0.4478,Thr,12,37
1,0,1,12,0,1,1,0.2,0.44,0.4179,Thr,12,52
1,0,1,13,0,1,1,0.22,0.41,0.4478,Thr,12,83
1,0,1,14,0,1,1,0.22,0.41,0.3881,Thr,12,42
1,0,1,15,0,1,1,0.24,0.38,0.2985,Thr,12,60
1,0,1,16,0,1,1,0.24,0.38,0.3582,Thr,12,78
1,0,1,17,0,1,1,0.2,0.4,0.2836,Thr,12,162
1,0,1,18,0,1,1,0.2,0.4,0.3284,Thr,12,144
1,0,1,19,0,1,1,0.16,0.47,0.2537,Thr,12,99
1,0,1,20,0,1,1,0.16,0.47,0.2239,Thr,12,64
1,0,1,21,0,1,1,0.14,0.46,0.2985,Thr,12,40
1,0,1,22,0,1,1,0.14,0.46,0.3284,Thr,12,30
1,0,1,23,0,1,1,0.12,0.5,0.19399999999999998,Thr,12,15
1,0,1,0,0,1,1,0.12,0.5,0.19399999999999998,Fri,12,14
1,0,1,1,0,1,1,0.1,0.54,0.1642,Fri,12,5
1,0,1,2,0,1,1,0.1,0.54,0.1343,Fri,12,1
1,0,1,3,0,1,1,0.1,0.54,0.1045,Fri,12,1
1,0,1,5,0,1,1,0.1,0.54,0.0896,Fri,12,8
1,0,1,6,0,1,1,0.1,0.54,0.0,Fri,12,17
1,0,1,7,0,1,1,0.1,0.74,0.1642,Fri,12,70
1,0,1,8,0,1,1,0.12,0.68,0.0,Fri,12,158
1,0,1,9,0,1,1,0.14,0.69,0.1343,Fri,12,117
1,0,1,10,0,1,1,0.18,0.55,0.19399999999999998,Fri,12,44
1,0,1,11,0,1,1,0.18,0.51,0.2836,Fri,12,53
1,0,1,12,0,1,1,0.2,0.44,0.2537,Fri,13,61
1,0,1,13,0,1,1,0.22,0.37,0.3881,Fri,13,77
1,0,1,14,0,1,1,0.22,0.41,0.2836,Fri,13,64
1,0,1,15,0,1,1,0.24,0.38,0.1642,Fri,13,68
1,0,1,16,0,1,1,0.22,0.41,0.1045,Fri,13,90
1,0,1,17,0,1,1,0.22,0.41,0.1642,Fri,13,159
1,0,1,18,0,1,1,0.2,0.47,0.0,Fri,13,139
1,0,1,19,0,1,1,0.16,0.59,0.0896,Fri,13,92
1,0,1,20,0,1,1,0.18,0.59,0.0,Fri,13,68
1,0,1,21,0,1,1,0.16,0.69,0.0,Fri,13,52
1,0,1,22,0,1,2,0.16,0.69,0.0,Fri,13,36
1,0,1,23,0,1,2,0.18,0.55,0.0,Fri,13,27
1,0,1,0,0,0,1,0.18,0.55,0.0,Sat,13,28
1,0,1,1,0,0,2,0.16,0.59,0.0896,Sat,13,20
1,0,1,2,0,0,2,0.16,0.59,0.0896,Sat,13,12
1,0,1,3,0,0,2,0.16,0.59,0.0,Sat,13,8
1,0,1,4,0,0,2,0.16,0.59,0.0,Sat,13,5
1,0,1,5,0,0,1,0.16,0.59,0.0,Sat,13,1
1,0,1,6,0,0,1,0.14,0.63,0.1045,Sat,13,3
1,0,1,7,0,0,1,0.14,0.63,0.0,Sat,13,10
1,0,1,8,0,0,1,0.14,0.63,0.1343,Sat,13,23
1,0,1,9,0,0,1,0.16,0.64,0.1343,Sat,13,33
1,0,1,10,0,0,1,0.18,0.59,0.1642,Sat,13,59
1,0,1,11,0,0,1,0.2,0.55,0.2239,Sat,13,72
1,0,1,12,0,0,1,0.24,0.48,0.2239,Sat,14,89
1,0,1,13,0,0,1,0.28,0.38,0.2985,Sat,14,101
1,0,1,14,0,0,1,0.3,0.39,0.2836,Sat,14,118
1,0,1,15,0,0,2,0.32,0.36,0.19399999999999998,Sat,14,129
1,0,1,16,0,0,2,0.34,0.34,0.19399999999999998,Sat,14,128
1,0,1,17,0,0,2,0.32,0.36,0.2836,Sat,14,83
1,0,1,18,0,0,2,0.3,0.45,0.2537,Sat,14,84
1,0,1,19,0,0,2,0.32,0.39,0.2537,Sat,14,74
1,0,1,20,0,0,2,0.32,0.39,0.2537,Sat,14,41
1,0,1,21,0,0,2,0.32,0.39,0.2239,Sat,14,57
1,0,1,22,0,0,2,0.3,0.42,0.1045,Sat,14,26
1,0,1,23,0,0,1,0.3,0.45,0.2836,Sat,14,44
1,0,1,0,0,0,1,0.26,0.56,0.0,Sun,14,39
1,0,1,1,0,0,1,0.26,0.56,0.1343,Sun,14,23
1,0,1,2,0,0,1,0.26,0.56,0.0896,Sun,14,16
1,0,1,3,0,0,1,0.22,0.69,0.0,Sun,14,15
1,0,1,4,0,0,1,0.26,0.56,0.1642,Sun,14,1
1,0,1,5,0,0,2,0.26,0.56,0.1642,Sun,14,2
1,0,1,6,0,0,2,0.26,0.56,0.1642,Sun,14,1
1,0,1,7,0,0,2,0.24,0.56,0.2985,Sun,14,3
1,0,1,8,0,0,1,0.22,0.55,0.2836,Sun,14,18
1,0,1,9,0,0,1,0.22,0.51,0.2537,Sun,14,32
1,0,1,10,0,0,1,0.22,0.51,0.2836,Sun,14,79
1,0,1,11,0,0,1,0.24,0.44,0.2537,Sun,14,93
1,0,1,12,0,0,1,0.24,0.41,0.2836,Sun,15,104
1,0,1,13,0,0,1,0.26,0.35,0.2985,Sun,15,118
1,0,1,14,0,0,1,0.28,0.36,0.2537,Sun,15,91
1,0,1,15,0,0,1,0.26,0.38,0.2537,Sun,15,113
1,0,1,16,0,0,1,0.24,0.38,0.2239,Sun,15,99
1,0,1,17,0,0,1,0.22,0.37,0.2537,Sun,15,105
1,0,1,18,0,0,1,0.2,0.4,0.1642,Sun,15,67
1,0,1,19,0,0,1,0.18,0.47,0.1343,Sun,15,61
1,0,1,20,0,0,1,0.18,0.47,0.1642,Sun,15,57
1,0,1,21,0,0,1,0.18,0.51,0.1642,Sun,15,28
1,0,1,22,0,0,2,0.2,0.49,0.1343,Sun,15,21
1,0,1,23,0,0,2,0.2,0.4,0.1045,Sun,15,18
1,0,1,0,1,0,2,0.2,0.47,0.2239,Mon,15,17
1,0,1,1,1,0,2,0.2,0.44,0.19399999999999998,Mon,15,16
1,0,1,2,1,0,2,0.18,0.43,0.2537,Mon,15,8
1,0,1,3,1,0,2,0.18,0.43,0.19399999999999998,Mon,15,2
1,0,1,4,1,0,2,0.18,0.43,0.1343,Mon,15,3
1,0,1,5,1,0,2,0.18,0.43,0.1642,Mon,15,1
1,0,1,6,1,0,2,0.18,0.43,0.19399999999999998,Mon,15,5
1,0,1,7,1,0,2,0.16,0.5,0.1343,Mon,15,13
1,0,1,8,1,0,2,0.16,0.47,0.2239,Mon,15,33
1,0,1,9,1,0,2,0.16,0.47,0.2239,Mon,15,47
1,0,1,10,1,0,2,0.16,0.5,0.2537,Mon,15,57
1,0,1,11,1,0,2,0.16,0.55,0.19399999999999998,Mon,15,64
1,0,1,12,1,0,2,0.18,0.47,0.1343,Mon,16,80
1,0,1,13,1,0,2,0.18,0.47,0.1343,Mon,16,93
1,0,1,14,1,0,2,0.18,0.43,0.1045,Mon,16,86
1,0,1,15,1,0,2,0.2,0.47,0.1642,Mon,16,93
1,0,1,16,1,0,2,0.2,0.47,0.1642,Mon,16,82
1,0,1,17,1,0,1,0.2,0.51,0.19399999999999998,Mon,16,71
1,0,1,18,1,0,2,0.18,0.55,0.2537,Mon,16,92
1,0,1,19,1,0,3,0.18,0.59,0.19399999999999998,Mon,16,60
1,0,1,20,1,0,3,0.16,0.8,0.19399999999999998,Mon,16,33
1,0,1,21,1,0,3,0.16,0.8,0.19399999999999998,Mon,16,27
